Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
mortezajavid.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
chinpartejam.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
xfire.codehaus.org) - - sadad.shaparak.ir 200 0 0 1717 1000 9,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
boroodat20.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
pjkala.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
panel.smsline.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
customer.faragostar.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
altazaker.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
taminkon.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
birjand.ircme.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nazr.amfm.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
moderozshop.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.roombaran.xyz,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
onlineluxsport.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
delmug.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
tikkhan.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
tlbx.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
hamdam.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
appetit.fit,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
atarod58340.blogfa.com sadad.shaparak.ir 200 0 0 48831 249 1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
samad-ah.tabrizu.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ibookcenter.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
eypak.shop,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
haghani.quiz24.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
m.vpboro.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
webmail.metalcableco.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mta.xcitygame.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
kalamup.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
karlancer.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
olamaee.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
romancafe.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ir-w2k16mx01.ihglobaldns.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
hisubmit.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
razidata.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mesoteb.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
saha-m.fartit.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
kalamandan.link,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bessi.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
6fd1f8e9-6a8e-4c37-bf67-ecd7f068ef74.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
jahanelm.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
